数据来源,内容,点赞数,情绪标签,意图标签,提及产品,产品属性标签,发布时间
C酱1区,一周以上我就遗了,0,中性,其他,,,2025-06-19 14:14:43
C酱1区,会的，一直想这个事情还影响做其他事情,0,中性,其他,,噪音,2025-06-19 14:30:22
C酱1区,一瞬间我还没转过来弯，你这排精师正经不,0,中性,其他,,,2025-06-19 14:45:57
C酱1区,香炉志说,0,正面,其他,,气味,2025-06-19 14:49:13
C酱1区,细说哪个排精师技术好,0,正面,咨询问题,,,2025-06-19 15:03:23
C酱1区,差不多,0,负面,其他,,,2025-06-19 15:50:40
C酱1区,很合理,0,中性,其他,,,2025-06-19 15:50:41
C酱1区,真的会有男的忍着不想吗？,0,中性,其他,,,2025-06-23 11:30:34
C酱1区,谁把我爱做了  ,0,正面,其他,,,2025-06-24 17:39:49
C酱1区,,0,中性,其他,,,2025-06-24 17:43:33
C酱1区,那我要大调查你了你又不乐意,2,中性,其他,,,2025-06-24 17:46:40
C酱1区,不准笑,1,中性,其他,,,2025-06-24 17:59:19
C酱1区,查查你的,1,中性,其他,,,2025-06-24 18:01:19
C酱1区,我是23周岁，太可怜了,1,中性,其他,,,2025-06-24 18:02:42
C酱1区,,0,中性,其他,,,2025-06-24 18:05:56
C酱1区,看来你想被大调查啊,0,中性,其他,,,2025-06-24 18:08:18
C酱1区,16周岁以前女的竟然比男的多,1,中性,其他,,,2025-06-24 18:12:06
C酱1区,,0,中性,其他,,,2025-06-24 18:32:39
C酱1区,,0,中性,其他,,,2025-06-24 18:39:46
C酱1区,一眼丁真,0,中性,其他,,,2025-06-24 18:42:14
C酱1区,不许哭,0,中性,其他,,,2025-06-24 21:58:56
C酱1区,开门，大英警察,0,中性,其他,,,2025-06-25 00:01:46
C酱1区,一眼假,0,中性,其他,,,2025-06-25 00:39:16
C酱1区,一眼丁真,0,中性,其他,,,2025-06-25 01:31:21
C酱1区,一眼丁真,0,中性,其他,,,2025-06-25 01:38:22
C酱1区,,0,中性,其他,,,2025-06-25 02:39:25
C酱1区,心理健康问卷哈哈哈哈,0,中性,其他,,,2025-06-25 04:02:02
C酱1区,电动就是比手动的要刺激些,0,中性,其他,,电动功能、通道刺激度,2025-06-26 17:38:33
C酱1区,还是要看情况吧，有些款式的手动，我就比电动更快,0,中性,其他,,电动功能,2025-06-26 18:38:19
C酱1区,使用的时候电动的声音也非常小，不用担心隐蔽性的问题,0,中性,吐槽不满,,噪音、收纳、电动功能,2025-06-29 15:38:59
C酱1区,感谢老铁，声音很小岂不是宿舍也可以用了,0,正面,使用反馈,,噪音,2025-07-01 15:44:10
C酱1区,震动的星梨奈妹妹诶,0,中性,其他,星梨奈,电动功能,2025-07-02 15:25:53
C酱1区,都是些老司机,0,中性,其他,,,2025-07-02 15:58:14
C酱1区,确实可以，不过虽然声音小，但还是有的，你要是室友耳朵尖的话，那就算了,0,正面,吐槽不满,,噪音、材质,2025-07-03 10:43:59
C酱1区,是让你转移注意力啦,0,中性,其他,,,2025-07-03 13:54:49
C酱1区,阶段三没伴侣就用飞机杯咯,0,中性,其他,,,2025-07-03 14:03:58
C酱1区,需要的兄弟练起来，没必要太过焦虑,0,中性,其他,,,2025-07-04 16:07:11
C酱1区,最开始用二代后面入了了mini，更喜欢mini，我觉得通道紧致些,0,正面,使用反馈,,通道,2025-07-07 11:34:12
C酱1区,,0,中性,其他,,,2025-07-07 15:03:12
C酱1区,住宿舍就有点怕被发现，偷偷摸摸的用,0,中性,使用反馈,,,2025-07-07 16:58:34
C酱1区,是的，飞机杯锻炼方式蛮多的,0,中性,其他,,通道刺激度,2025-07-08 10:58:33
C酱1区,懂②，太老司机了,0,中性,其他,,,2025-07-08 11:00:38
C酱1区,刺激款用起来时间短，慢玩二十分钟多分钟正常,0,中性,吐槽不满,,通道刺激度,2025-07-08 17:41:10
C酱1区,三斤多一点，握在手里肉感十足,0,中性,其他,,材质,2025-07-10 09:15:55
C酱1区,蟹蟹,0,中性,其他,,,2025-07-10 09:17:36
C酱1区,至少20分钟起步嘛,1,中性,其他,,,2025-07-10 09:57:27
C酱1区,是的,0,中性,其他,,,2025-07-10 10:05:24
C酱1区,好点的半身估计都在800以上,0,正面,其他,,,2025-07-11 17:06:36
C酱1区,好的，蟹蟹,0,正面,其他,,,2025-07-11 17:12:50
C酱1区,没用过，但对比了下这两款，喜欢大🐻的就娜娜子，黄油小姐是屯,0,正面,使用反馈,黄油小姐,,2025-07-11 19:35:40
C酱1区,星梨奈，亲测好用,0,正面,其他,星梨奈,,2025-07-11 20:48:31
C酱1区,兄弟，星梨奈买成多少？我看二代收纳养护套餐要287,0,中性,咨询问题,星梨奈,收纳,2025-07-11 22:00:10
C酱1区,比黄油小姐高些哦，黄油小姐是慢玩款,0,中性,吐槽不满,黄油小姐,通道刺激度,2025-07-12 07:24:31
C酱1区,容易滴，好用,0,正面,其他,,,2025-07-12 07:25:07
C酱1区,一代就可以,1,正面,其他,,,2025-07-12 07:25:24
C酱1区,嗯嗯,0,中性,简单互动,,,2025-07-12 10:51:21
C酱1区,很不错，喜欢半身娃娃值得,0,正面,其他,,,2025-07-14 10:17:21
C酱1区,外形绝了,0,正面,其他,,外观,2025-07-14 10:17:32
C酱1区,看个人喜好，星梨奈三斤的电动杯，震动功能，娜娜子10斤有大🐻pp，外形就不一样,0,正面,其他,星梨奈,外观、电动功能,2025-07-14 10:26:59
C酱1区,星梨奈用过很不错的，娜娜子准备入手了～,1,正面,购买意向,星梨奈,,2025-07-14 10:27:55
C酱1区,我也是这样想的，我看他们说放盆里洗，但太大了也不好搬,0,正面,吐槽不满,,收纳、清洗,2025-07-14 10:28:41
C酱1区,所以不买,0,中性,其他,,,2025-07-14 10:31:57
C酱1区,外形真的是戳我xp,0,中性,其他,,外观,2025-07-14 10:46:05
C酱1区,👌，客服说发顺丰，到了就测,0,中性,吐槽不满,,,2025-07-14 17:43:04
C酱1区,不至于是石头，🐻对比黄油小姐是要硬一些，因为要挺拔就需要一定硬度支撑起来，是能rua的哈,0,负面,使用反馈,黄油小姐,材质、通道刺激度,2025-07-15 09:00:50
C酱1区,娜娜子就是那种外形漂亮的欧派，我感觉🐻确实不够软要是能做成黄油那种材质就哈，也能理解大🐻需要支撑就有一定的硬度，不过在这类半身娃娃中好在价格便宜，性价比高,0,正面,吐槽不满,,外观、材质、通道刺激度,2025-07-15 09:12:34
C酱1区,用过二代，真挺不错的,0,正面,其他,,,2025-07-15 09:38:37
C酱1区,认准旗舰店哦~,0,中性,其他,,,2025-07-15 17:48:36
C酱1区,还没有去拿呢,0,中性,其他,,,2025-07-15 17:50:49
C酱1区,旗舰店卖完了找不到了，还会重上吗,0,中性,其他,,,2025-07-15 17:54:38
C酱1区,蹲蹲,0,中性,其他,,,2025-07-15 17:55:08
C酱1区,贪心的男人,1,中性,其他,,,2025-07-15 22:04:14
C酱1区,哈哈哈，不嫌多,1,中性,简单互动,,,2025-07-15 22:17:49
C酱1区,快乐不嫌多,0,正面,其他,,,2025-07-16 10:26:03
C酱1区,我也有黄油小姐了，现在考虑要不要入一个娜娜子，实在是太漂亮了,0,中性,购买意向,黄油小姐,外观、材质,2025-07-16 16:39:55
C酱1区,我感觉娜娜子挺好玩的，如果是新手就不建议了，次级度中等偏上,0,正面,使用反馈,,通道刺激度,2025-07-16 16:52:02
C酱1区,xd入手不亏的，外形漂亮，大雷逼真,1,负面,购买意向,,外观,2025-07-16 17:03:28
C酱1区,第一次很快就被秒了，大概也就十分钟不到，说真的很亢/奋，那种刚进去就明显感觉全身都激/动起来了!,0,中性,使用反馈,,,2025-07-16 17:50:51
C酱1区,这大pp，曲线太好看了,0,正面,其他,,外观,2025-07-16 20:28:32
C酱1区,非现实s曲线,0,中性,其他,,材质,2025-07-17 09:07:49
C酱1区,细说“凿”,0,中性,其他,,,2025-07-17 10:16:21
C酱1区,,0,中性,其他,,,2025-07-17 14:45:51
C酱1区,等待着你的反馈,0,中性,其他,,,2025-07-17 14:49:01
C酱1区,,0,中性,其他,,,2025-07-17 18:01:33
C酱1区,二代会比一代次级一点，有一层一层的突破感摩擦力不错，很shuang,0,正面,其他,,,2025-07-17 18:03:19
C酱1区,小蛮腰真的漂亮！,0,中性,其他,,外观,2025-07-18 09:12:06
C酱1区,不算大，a杯？,0,中性,其他,,,2025-07-20 16:46:18
C酱1区,薅个券，完全可以,0,正面,其他,,,2025-07-20 16:47:18
C酱1区,娜娜子,0,中性,其他,,,2025-07-20 16:47:36
C酱1区,不一样的，一个是半身一个是屯，不同的体验,0,中性,使用反馈,,,2025-07-21 09:49:44
C酱1区,衣柜里是立着放的嘛,0,中性,其他,,收纳,2025-07-21 15:14:50
C酱1区,按照我的计划试试,0,中性,其他,,,2025-07-21 17:46:53
C酱1区,好嘞~,0,正面,其他,,,2025-07-22 09:17:50
C酱1区,不大哈，萝莉身材~,0,中性,其他,,,2025-07-22 09:30:42
C酱1区,可以⊙∀⊙！,0,正面,其他,,,2025-07-22 09:31:00
C酱1区,我整理下,0,中性,其他,,,2025-07-22 09:37:32
C酱1区,挺不错的，对比了好几款性价比最高，十斤说起来不重但玩起来还挺有份量的，外观很有视觉冲击,0,正面,使用反馈,,外观,2025-07-22 14:43:03
C酱1区,我175cm，76kg，玩起来轻轻松松，累不累我感觉是个人感受哦，嘘的玩啥都累吧,0,负面,使用反馈,,,2025-07-22 17:00:54
C酱1区,刚好两个我都有，都是属于有点次级款，外形仿真度高，看个人喜好一个是屯一个是小半身，喜欢pp可以选可可，喜欢大雷绝对娜娜子,0,正面,其他,可可狼姬,外观、通道刺激度,2025-07-22 17:03:01
C酱1区,重量有3斤，看了尺寸是22.5* 13.5*11cm，差不多比A4纸小一点，mini版本尺寸会小1cm；我是一手可握，玩的时候要用双手才行挺有份量的,0,中性,其他,,,2025-07-22 17:10:18
C酱1区,不出所望，好用,0,正面,其他,,,2025-07-22 19:01:31
C酱1区,发不出来啊,0,中性,其他,,,2025-07-22 19:01:47
C酱1区,pick①,0,中性,其他,,,2025-07-23 09:53:43
C酱1区,🐻会很硬吗 我也准备入手了,0,负面,购买意向,,材质,2025-07-23 10:50:27
C酱1区,加了，不在了,0,中性,其他,,,2025-07-23 11:51:41
C酱1区,8u专属传送门http://tieba.baidu.com/mo/q/checkurl?url=https%3A%2F%2Fshop.m.taobao.com%2Fshop%2Fsr.htm%3Fp%3DD1qd6Il_nYpgg_0_uO6nB&urlrefer=93b79add9b8ac7194d74be077b8ec478,0,中性,咨询问题,,,2025-07-23 15:14:17
C酱1区,我还可以接受，没有那么硬但也没有那么软，🐻还蛮大的，太软了会塌掉起吧,1,中性,其他,,材质,2025-07-23 15:23:49
C酱1区,我觉得商家是为了外形逼真牺牲了一些柔软度的，娜娜子的的优势感觉就是外形和性价比,1,正面,使用反馈,,外观、材质、通道刺激度,2025-07-23 15:24:54
C酱1区,去年买的1代，现实已经能玩15分钟以上了,0,中性,使用反馈,,材质,2025-07-23 15:31:31
C酱1区,玩什么都得洗，可以藏在衣柜里 然后等晚上洗澡的时候，用浴巾包着拿到浴室，然后洗不就好了，反正不清理肯定是不行的，只要有水龙头，都好收拾。,0,正面,吐槽不满,,收纳、清洗,2025-07-23 16:03:22
C酱1区,新手？新手用星梨奈,0,中性,其他,星梨奈,,2025-07-23 16:27:16
C酱1区,想看你玩儿,0,中性,其他,,,2025-07-23 17:17:28
C酱1区,就最后总结了？,0,中性,其他,,,2025-07-23 17:18:48
C酱1区,那不搞个杯杯收藏馆,0,中性,其他,,收纳,2025-07-23 17:19:34
C酱1区,老铁，在后面,0,中性,其他,,,2025-07-23 17:27:42
C酱1区,新手先选小一点的，再逐渐往大的选,0,中性,其他,,,2025-07-23 17:41:21
C酱1区,最高档的那个套餐也不到300,0,中性,其他,,,2025-07-23 17:42:32
C酱1区,先薅个券，然后再入手更划算，星梨奈电动杯中性价比很高，到手的时候还发现他还送了很多配件,0,正面,购买意向,星梨奈,电动功能,2025-07-23 17:45:06
C酱1区,每个人感受不同，就我个人而言感觉还挺好用的，两个通道两种体验，进入通道会有一层一层的突破，通道设计得不错,0,正面,使用反馈,,外观、通道,2025-07-23 17:49:45
C酱1区,防水的挺好清洗的,0,正面,其他,,清洗,2025-07-23 19:38:14
C酱1区,我也在看星梨奈,0,中性,其他,星梨奈,,2025-07-24 09:57:36
C酱1区,大小功能都有区别哦，看个人喜好哈，就次级度而言，极速之星更次级,0,正面,其他,,通道刺激度,2025-07-24 11:49:45
C酱1区,大雷手感也不错,0,中性,其他,,,2025-07-24 11:51:32
C酱1区,等一等，自己租房子住了就可以了,0,正面,其他,,,2025-07-24 16:21:39
C酱1区,也不是不行,0,中性,吐槽不满,,,2025-07-24 16:54:41
C酱1区,放行李箱里完全是可以的,0,正面,其他,,收纳,2025-07-25 09:23:45
C酱1区,是不是润滑液放得不够哦！,0,中性,其他,,收纳,2025-07-25 09:31:21
C酱1区,多练练,0,中性,其他,,,2025-07-25 09:31:53
C酱1区,看前面的锻炼方法诶，多练练,0,中性,其他,,通道刺激度,2025-07-25 09:33:12
C酱1区,两个是不同的体验,0,中性,使用反馈,,,2025-07-25 09:36:46
C酱1区,估计是摸到里面的震动装置了,0,中性,其他,,电动功能,2025-07-25 09:39:11
C酱1区,可以跟客服说，让发顺丰,0,正面,吐槽不满,,,2025-07-25 09:39:32
C酱1区,APP版可以自己调节频率，普通版只能用固定频率,0,正面,其他,,电动功能,2025-07-25 09:41:36
C酱1区,快递箱上不会有任何产品信息，但是你担心就换个快递代收点,0,中性,吐槽不满,,,2025-07-25 09:47:41
C酱1区,我感觉是D哦,0,中性,使用反馈,,,2025-07-25 09:47:57
C酱1区,自己用可以不戴啊我就不戴,0,正面,其他,,,2025-07-25 09:51:36
C酱1区,三十斤可以当健身器材了,1,正面,其他,,,2025-07-25 09:52:03
C酱1区,还是要带骨架，好调节姿势，调节好了操作很方便的,0,正面,其他,,,2025-07-25 09:52:40
C酱1区,小有小的好，大的视觉上更好,1,正面,其他,,,2025-07-26 23:36:17
C酱1区,话说哥们有几个杯杯啊，买多了算不算浪费啊,0,中性,其他,,,2025-07-27 17:47:36
C酱1区,从第一个杯到现在有五六个了,0,中性,使用反馈,,,2025-07-27 20:05:29
C酱1区,就我来说就没有浪费的，在买之前就要看好外形通道等情况，我几乎入手就没有后悔的,0,负面,购买意向,,外观、通道,2025-07-27 20:06:52
C酱1区,有骨架挺好的可以多种资势,0,正面,其他,,,2025-07-28 14:20:06
C酱1区,看似无敌实则超级不方便，并不好,0,正面,吐槽不满,,材质,2025-07-28 15:23:00
C酱1区,体型就不一样，你说这两个都接近20斤了,1,中性,其他,,,2025-07-28 16:48:20
C酱1区,“无敌是多么、多么寂寞”,0,中性,其他,,,2025-07-28 16:49:17
C酱1区,必须洗，为了niuniu的健康,0,中性,其他,,清洗,2025-07-28 17:00:05
C酱1区,我感觉挺大的，半身可玩性还是挺高的,0,中性,使用反馈,,,2025-07-28 22:01:26
C酱1区,我看测评星梨奈更适合新手,0,中性,其他,星梨奈,,2025-07-29 10:12:14
C酱1区,所以我喜欢半身,0,正面,其他,,,2025-07-29 10:18:52
C酱1区,还有个小肚脐眼,0,中性,其他,,,2025-07-29 10:25:13
