数据来源,标题,内容,帖子主题,是否活动贴,回复数,点赞数,浏览数,分享数,互动率,综合互动得分,情绪标签,提及产品,产品属性标签,创建时间,发布日期,发布小时
C酱1区,啊，这！还是别长期禁yu了吧！,"啊，这！还是别长期禁yu了吧！
",其他,否,24.0,31.0,4031.0,2.0,0.0059538576035723,19.5,中性,,,2025-06-19 10:05:58,2025/06/19,10
C酱1区,大学本科毕业时，原来就有53%的同学已经有过了,"大学本科毕业时，原来就有53%的同学已经有过了
还是插。。入式的xing活动，研究生毕业时这一比例上升至70%！",其他,否,68.0,273.0,15927.0,6.0,0.0042694795002197,110.9,中性,,,2025-06-24 14:38:08,2025/06/24,14
C酱1区,选杯如选女友和填志愿，马虎不得一点,"选杯如选女友和填志愿，马虎不得一点
选择自己合适的杯子是一条始终处于探索的路，不是一蹴而就，但是能在探索的路上发现各种稀奇好玩的杯杯，用了老多的COC，COC从没让我失望过，就是没有腿模的产品",其他,否,12.0,11.0,407.0,5.0,0.0294840294840294,9.6,中性,,,2025-06-26 12:48:07,2025/06/26,12
C酱1区,关于星梨奈的那些事,"关于星梨奈的那些事
COC星梨奈出一代又一代，哪一代是你的最爱？这次推荐的是最新圣杯Min版半身星梨奈。",其他,否,11.0,7.0,1464.0,6.0,0.0075136612021857,8.3,正面,星梨奈,,2025-06-26 13:05:14,2025/06/26,13
C酱1区,COC星梨奈二代半身深度体验，二次元老婆杯，这波入股不亏！,"COC星梨奈二代半身深度体验，二次元老婆杯，这波入股不亏！
家人们好啊，最近618刚剁手了COC星梨奈二代半身款，用了两周直接真香！双通道+智能交互+黑丝玩法，直接打开新世界大门！今天必须吹一波！
#COC、半身、斐济杯、星梨奈二代、可可狼姬-露可#",产品评测/开箱,否,15.0,22.0,3170.0,14.0,0.0047318611987381,16.8,正面,可可狼姬、星梨奈,通道、气味、电动功能、通道刺激度,2025-06-26 16:18:36,2025/06/26,16
C酱1区,【白毛少萝星梨奈测评】如此主动的妹妹，能带来什么体验？,"【白毛少萝星梨奈测评】如此主动的妹妹，能带来什么体验？
百闻不如一见，百见不如一干。
今天本人就给宝子们详细聊（肉）聊（测）这款 COC星梨奈。
虽然我阅器无数，但是第一次看到星梨奈妹妹，我依然被这1500g重的厚实名器给震惊了！
印象里名器都是嫩嫩的，尺寸也不大，如果以前一起的名器是常规体，那COC星梨奈就是【Pro Max震动顶配版】",产品评测/开箱,否,99.0,73.0,7077.0,11.0,0.0139889783806697,64.8,正面,星梨奈,电动功能、材质,2025-06-26 16:28:18,2025/06/26,16
C酱1区,COC半身星梨奈圣杯个人测评,"COC半身星梨奈圣杯个人测评
最近也是入手了COC星梨奈，也算是我入手的第一款电动圣杯。总结：用起来非常不错，推荐入手
#COC、半身、斐济杯、星梨奈二代、可可狼姬-露可#",产品评测/开箱,否,239.0,166.0,19817.0,39.0,0.0120603522228389,157.1,正面,可可狼姬、星梨奈,电动功能,2025-06-29 15:18:38,2025/06/29,15
C酱1区,【锻炼】从3分钟到30分钟，科学延时训练指南！！,"【锻炼】从3分钟到30分钟，科学延时训练指南！！
相信现在依旧有很多兄弟在到处寻找：不用吃小片片不麻醉的科学延时方法吧
xdm，今天就把压箱底的延时训练体系拆解给你！记住一句话：时间管理不是天赋，而是技术活！",使用经验分享,否,58.0,57.0,4486.0,9.0,0.0129291127953633,43.0,中性,,通道刺激度,2025-06-30 16:21:32,2025/06/30,16
C酱1区,千万不要用室友的沐浴露洗杯子,"千万不要用室友的沐浴露洗杯子
",其他,否,2.0,1.0,203.0,0.0,0.0098522167487684,1.1,中性,,清洗,2025-06-30 16:39:10,2025/06/30,16
C酱1区,【选杯知识】集体宿舍、与父母同住……不同人群要怎么选飞机杯？,"【选杯知识】集体宿舍、与父母同住……不同人群要怎么选飞机杯？
市面上的圣杯种类繁多，各种功能各种款式，可算是过了一把选妃的瘾，不过最后还是要选适合自己的才行！",求助/咨询,否,9.0,3.0,365.0,0.0,0.0246575342465753,4.5,正面,,,2025-07-01 14:54:19,2025/07/01,14
C酱1区,半身娃娃和圣杯，有啥不一样，哪个用着更爽？,"半身娃娃和圣杯，有啥不一样，哪个用着更爽？
在很多男生的眼里，半身娃娃几乎能满足男生对aiai的绝大部分幻想，几乎达到了通吃的地步，
娃娃=yyds
接下来我们采访三位”宅男“，听听他们的想法↓",其他,否,15.0,9.0,964.0,2.0,0.0155601659751037,9.3,正面,,通道刺激度,2025-07-02 15:03:04,2025/07/02,15
C酱1区,【新手教程】飞机杯开箱、使用、清洗、保养、收纳全流程,"【新手教程】飞机杯开箱、使用、清洗、保养、收纳全流程
很多新手都有这样的问题：
1.杯子出油多，味道有点大，是不是质量问题？
2.每次要洗十分钟，咋办？！
3.保养粉需要涂通道里吗？
4.保养粉已经涂里面了，会有问题吗？
5.杯子表面很脏，怎么办？
6.杯子里面很难干，咋整？？
7.吸水棒容易断怎么办？
8.我用起来感觉一般，不是很刺激呀？
... ..相信看完这篇上述问题你一定会有答案的",产品评测/开箱,否,13.0,12.0,1470.0,0.0,0.0088435374149659,8.8,正面,,通道、清洗、气味、通道刺激度、收纳,2025-07-03 10:33:56,2025/07/03,10
C酱1区,7月c酱家8U盖楼抽奖福利来啦!,"7月c酱家8U盖楼抽奖福利来啦!
【开奖时间】2025年07月28日20:00自动抽奖
【参与范围】关注c酱家的绅士基地1区的吧友
【参与方式】带关键词「飞机杯」评论本贴
【奖品信息】社长娜娜子*1，星梨奈*1，纯爱润滑液*3
【领奖有效期】中奖吧友请在2025年07月31日23:59前完成领奖
关注本吧，并评论带【飞机杯】或者【半身娃娃】，满8个字！！！！
除了本次抽奖的福利外，有给大家准备隐藏福利哦，本贴点赞数达666，楼里加抽兔娘一个
多回复、多点赞中奖概率更高哦！！！",活动贴,是,1785.0,146.0,6357.0,15.0,0.2807928268050967,762.3,正面,星梨奈,收纳、电动功能,2025-07-03 17:48:32,2025/07/03,17
C酱1区,第一次使用半身娃娃被秒，怎么办？,"第一次使用半身娃娃被秒，怎么办？
放暑假了终于有时间，心心念念入手了一个看了好久的小半身娃娃，拿快递，拆快递，拿出娃娃，看说明书，润滑液也弄好，准备大干一场.....",产品评测/开箱,否,41.0,27.0,2246.0,3.0,0.0182546749777382,25.4,正面,,收纳,2025-07-07 13:50:33,2025/07/07,13
C酱1区,xdm你们多久冲一发？（大学生zw应该多久一次？）,"xdm你们多久冲一发？（大学生zw应该多久一次？）
对于绝大多数的大学男生来所，尤其是占一半以上比例的男生狗们来说
打✈永远是一个谁都偷偷的做，但明面上谁都不说的事情。
但很多同学虽然隔三差五都要打下这么一下，但对于怎样科学地打✈，打✈的频率应该是怎样的，平时应该怎样保护自己小蝌蚪(°°)～的活性，怎样保护自己的腰......这些关系到我们一生生活幸福的问题，却知之甚少~",其他,否,19.0,10.0,965.0,0.0,0.0196891191709844,10.6,正面,,,2025-07-10 11:31:49,2025/07/10,11
C酱1区,半身娃娃一般多少斤才好用？,"半身娃娃一般多少斤才好用？
暑假爸妈白天要上班，有了很多独处时间真的好适合玩杯，朋友送了我星梨奈，3斤重量，mini半身娃娃，用起来很奈斯！
就想再试试大一点的半身
喜欢用🐻有pg的，尤其是欧派的
但是转了一圈，发现价格都好贵，生活费不多，我有必要再换个大的么？🙃",其他,否,136.0,102.0,9400.0,10.0,0.0144680851063829,88.0,正面,星梨奈,,2025-07-10 14:31:02,2025/07/10,14
C酱1区,半身娃娃也能藏在抽屉里？新时代半身玩具测评来了,"半身娃娃也能藏在抽屉里？新时代半身玩具测评来了
当你看到这篇帖子，恭喜你，你已经具备了从新手进阶为老司机的资格！",产品评测/开箱,否,66.0,40.0,2749.0,6.0,0.0240087304474354,40.2,中性,,收纳,2025-07-10 17:15:39,2025/07/10,17
C酱1区,【干货】飞机杯（名器、半身娃娃）通道内的小设计能带来什么感受,"【干货】飞机杯（名器、半身娃娃）通道内的小设计能带来什么感受
自从18岁接触斐济杯以来，就发现每个品牌为了让自己的产品更吸引人，都会设计出许多的不同的点，来丰富体验。那么问题来了，这些不同的通道设计，具体都是什么感受呢？不同的通道有什么不一样的感觉呢？",使用经验分享,否,13.0,9.0,1240.0,1.0,0.0104838709677419,8.200000000000001,中性,,外观、通道,2025-07-14 11:30:53,2025/07/14,11
C酱1区,不犹豫了，就娜娜子了,"不犹豫了，就娜娜子了
娜娜子的外形太戳我了，犹豫了很久决定就是它了，期待✌✌✌",其他,否,32.0,12.0,1825.0,1.0,0.0175342465753424,16.7,中性,,外观,2025-07-14 15:38:00,2025/07/14,15
