产品,情绪,序号,内容
黄油小姐,正面,1,"可可本体就是介个样子滴（白色痕迹是我打的保护粉）
拿出来后第一个反应就是软！真的软！是那种手指陷下去的软（虽然相比黄油小姐还是略逊一筹），再其次就是香，是很自然的巧克力混合着牛奶的甜香味，而且这种香不是香精的那种让人感到齁甜齁甜的廉价香，是非常有质感的气息。"
黄油小姐,正面,2,"一、关注冲1000福利
C酱2区吧距离千粉不远啦，还需要各位新8u老8u再支持一波，上千粉咱就抽！
过去2个月COC已经上了2个新品：黄油小姐2.0，莓莓兔即将上新的诺诺亚，一共3个新品，这次痛快抽抽抽！
【奖品信息】3款新品任选其一*3份
【参与方式】关注本吧，点赞本帖，并在此贴回复”新品+coc圣杯66“
【抽奖时间】关注满1000粉
！！宠粉预告：破2000粉，咱们继续抽"
黄油小姐,正面,3,"兄弟们！使用了COC家的美优酱和星梨奈2代APP（星梨奈的测评没有写如果有兄弟想看可以留言）后又入手了可可狼姬2.0和黄油小姐2.0，今天也是到货了！
还是老规矩先说物流和包装。首先物流非常快，买了几次发现COC好像都是从成都附近发货，我在昆明第二天就到了，非常快。其次是物流包装，纸箱📦是用的食品包装纸箱，隐私保护可以说非常不错，打开后就是码放的很整齐的杯杯了，包装无破损好评。
把玩具包装如图二，设计的很精致，而且使用厚纸壳所以一点廉价感都没有完全可以用作后续的收纳容器。
打开后的样子如图三，首先是一张明信片和一个香片，下面的就是可可了，包装的很好，安全这一块完全可以放心😌
#COC#可可狼姬#圣杯战争#斐济杯"
黄油小姐,正面,4,"coc斐济杯黄油小姐二代，这是我购买的第一个小屯，之前买过是使用过圣杯，但还是很激动的，毕竟小屯更真实，还能撞击，这是斐济杯不可能给的感受，为此还禁欲了很多天，然后上手使用，就秒了，乐极生悲了 。
言归正传，盒子印着的人物就是coc黄油小姐，一个长发大小姐的形象，很可爱。根据官方资料，枫棠还是个傲娇的小公主，很喜欢傲娇的性格，还和我一样喜欢玩galgame(黄油算是galgame的一部分吧)。
而盒子的另外一面的左上角是防伪号码(打码了)，可以扫码检验正品。"
黄油小姐,正面,5,"二、10月盖楼点赞福利
【活动时间】：10月2日-11月3日
【参与范围】：关注本吧，且点赞本帖的吧友
【奖品信息】：
常规奖🎁： ①黄油小姐*1、可可狼姬*1、兔娘*1
加抽奖：点赞量突破150，加抽赤鸢*1
【参与方式】：回复想要抽中的产品名称+coc圣杯66，例如：“黄油小姐+coc圣杯66”
【领奖有效期】中奖吧友在开奖后5个工作日内完成领奖"
黄油小姐,负面,1,"这么说吧，市面上有些杯的紧是硬生生裹着你，像在比赛谁先撑不住。黄油小姐的包裹是那种均匀的、绵密的包裹感，像被一团温热的棉花糖慢慢吸进去。
你动的时候，它能感觉到你的节奏；你停下来，它也不会一下子放空。那种若即若离的吸附感，是很多材质做不出来的。"
黄油小姐,负面,2,直接选coc家的，国货之光，我买的星梨奈黄油小姐品质都非常好，没踩雷！
黄油小姐,负面,3,作为一个玩过不少屯模、飞机杯的老玩家，踩过贵价智商税，也用过廉价垃圾款，兜兜转转最后常驻的，居然是黄油小姐。不是吹，是真的用一次就离不开，今天我就说说我个人的真实体验，为什么它能成为我的常驻！
黄油小姐,负面,4,新手刚入坑没多久，用过coc可可狼姬1代，coc赤鸢，coc黄油小姐2代，忍道修炼。现在想尝试下：麻美优子2代，gxp胖次天使2代，muni埃及妖后pro，gose皮小鬼2代，coc可可狼姬2代，gose魔法星使，gxp超顺从女仆……自己日常价格买太贵了，有大佬能低价代购吗？
黄油小姐,负面,5,其实我感觉黄油小姐除了没有温度，跟真的也差不多
可可狼姬,正面,1,"可可本体就是介个样子滴（白色痕迹是我打的保护粉）
拿出来后第一个反应就是软！真的软！是那种手指陷下去的软（虽然相比黄油小姐还是略逊一筹），再其次就是香，是很自然的巧克力混合着牛奶的甜香味，而且这种香不是香精的那种让人感到齁甜齁甜的廉价香，是非常有质感的气息。"
可可狼姬,正面,2,"最近也是入手了COC星梨奈，也算是我入手的第一款电动圣杯。总结：用起来非常不错，推荐入手
#COC、半身、斐济杯、星梨奈二代、可可狼姬-露可#"
可可狼姬,正面,3,可可狼姬是我买coc的第一个产品，总得来说分量足，舒适度也高，先说说外观吧，可可狼姬的颜色是小麦色的，和其他大部分为米白色的斐济杯大不相同，小麦色的狼姬从外观视觉上也颇有吸引力，其次是一字马的造型在使用的时候更能贴合自身，达到紧密贴合#COC#斐济杯#圣杯
